day,predicted_sales
1000,20.677501501501503
1001,20.677482523482524
1002,20.677463545463546
1003,20.677444567444567
1004,20.677425589425592
1005,20.677406611406614
1006,20.677387633387635
1007,20.677368655368657
1008,20.677349677349678
1009,20.6773306993307
1010,20.677311721311725
1011,20.677292743292746
1012,20.677273765273767
1013,20.67725478725479
1014,20.67723580923581
1015,20.677216831216832
1016,20.677197853197853
1017,20.67717887517888
1018,20.6771598971599
1019,20.67714091914092
1020,20.677121941121943
1021,20.677102963102964
1022,20.677083985083986
1023,20.677065007065007
1024,20.677046029046032
1025,20.677027051027054
1026,20.677008073008075
1027,20.676989094989096
1028,20.676970116970118
1029,20.67695113895114
